Stock	Percentage	Value
CLS	14.38%	3595.719144
POWL	8.75%	2187.937588
APP	8.13%	2032.906581
STRL	7.75%	1937.887578
MFC	3.61%	902.6805361
EAT	3.36%	840.1680336
UBER	3.21%	802.6605321
RCL	3.08%	770.1540308
AGX	2.72%	680.1360272
ATGE	2.69%	672.6345269
CRDO	2.65%	662.6325265
CAAP	2.43%	607.6215243
TWLO	2.40%	600.120024
TMUS	2.24%	560.1120224
GRBK	2.21%	552.6105221
BLBD	2.01%	502.6005201
SYF	1.90%	475.095019
BRK.B	1.79%	447.5895179
SKYW	1.78%	445.0890178
CCL	1.68%	420.0840168
OKTA	1.66%	415.0830166
LC	1.62%	405.0810162
PPC	1.34%	335.0670134
SFM	1.31%	327.5655131
ALL	1.27%	317.5635127
SSRM	1.24%	310.0620124
ARQT	1.23%	307.5615123
EZPW	1.12%	280.0560112
WFC	1.12%	280.0560112
PYPL	1.11%	277.5555111
UNFI	1.08%	270.0540108
WLDN	1.04%	260.0520104
DXPE	0.88%	220.0440088
QTWO	0.87%	217.5435087
LRN	0.82%	205.0410082
CDE	0.76%	190.0380076
COMM	0.75%	187.5375075
KGC	0.73%	182.5365073
TTMI	0.67%	167.5335067
MU	0.59%	147.5295059
