Stock	Percentage	Value
CLS	12.99%	2,727.90
APP	9.60%	2,016.00
POWL	8.01%	1,682.10
STRL	7.84%	1,646.40
MFC	3.58%	751.80
EAT	3.45%	724.50
UBER	3.34%	701.40
RCL	3.16%	663.60
AGX	2.72%	571.20
ATGE	2.69%	564.90
CRDO	2.68%	562.80
GRBK	2.51%	527.10
CAAP	2.40%	504.00
TMUS	2.38%	499.80
TWLO	2.32%	487.20
BLBD	1.97%	413.70
SYF	1.86%	390.60
BRK.B	1.84%	386.40
SKYW	1.83%	384.30
OKTA	1.81%	380.10
CCL	1.68%	352.80
PPC	1.48%	310.80
ALL	1.39%	291.90
LC	1.36%	285.60
ARQT	1.33%	279.30
SFM	1.30%	273.00
SSRM	1.29%	270.90
EZPW	1.14%	239.40
PYPL	1.12%	235.20
UNFI	1.11%	233.10
WFC	1.08%	226.80
WLDN	1.01%	212.10
DXPE	0.97%	203.70
QTWO	0.97%	203.70
LRN	0.80%	168.00
KGC	0.78%	163.80
CDE	0.76%	159.60
COMM	0.75%	157.50
TTMI	0.70%	147.00
